ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
64, HSA_FA_EU_FR-EUxESGB EQ , HSA_FA_EU_FR , EUxESGB EQ ," 72,452 "," 1,063,687 ",                       -   , 75 ," 7,505 "," 97,681 "," 168,104 "," 584,461 "," 1,378,120 "," 2,704,239 "," 3,304,324 "," 5,865,160 "," 9,786,323 "," 49,083,241 ",                       -   ," 1,132 "," 8,132 "," 99,734 "," 171,335 "," 594,022 "," 1,397,430 "," 2,736,021 "," 3,340,412 "," 5,912,333 "," 9,845,928 "," 49,169,196 "
65, HSA_FA_EU_FR-GB FL , HSA_FA_EU_FR , GB FL , 47 ," 4,749 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , -   , -   , 1 , 1 , 213 ," 2,684 "," 76,558 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , 7 , 20 , 26 , 214 ," 2,685 "," 76,586 "
66, HSA_FA_EU_FR-GB WSSS CVV , HSA_FA_EU_FR , GB WSSS CVV , 98 , 486 , 6 , 76 , 186 , 354 , 424 , 726 ," 1,247 "," 2,111 "," 2,469 "," 3,852 "," 5,705 "," 16,765 ", 17 , 97 , 221 , 407 , 483 , 802 ," 1,335 "," 2,205 "," 2,566 "," 3,956 "," 5,815 "," 16,893 "
67, HSA_FA_EU_IE-EUxESGB EQ Adj , HSA_FA_EU_IE , EUxESGB EQ Adj , 925 ," 21,319 ",                       -   ,                       -   ,                         -   , 11 , 66 ," 1,537 "," 9,234 "," 32,405 "," 45,259 "," 108,320 "," 207,863 "," 748,221 ",                       -   ,                         -   ,                         -   , 98 , 147 ," 1,552 "," 9,286 "," 32,545 "," 45,439 "," 108,662 "," 208,391 "," 749,567 "
68, HIG_HH_GU-EUxGB WS CVV (FlrArea) , HIG_HH_GU , EUxGB WS CVV (FlrArea) ," 31,091 "," 81,093 "," 5,407 "," 23,713 "," 56,833 "," 113,789 "," 137,624 "," 229,324 "," 347,511 "," 491,380 "," 543,112 "," 720,305 "," 922,308 "," 1,765,263 "," 10,306 "," 34,220 "," 71,862 "," 133,599 "," 159,004 "," 255,471 "," 378,003 "," 525,676 "," 578,450 "," 758,645 "," 962,939 "," 1,812,058 "
69, HIG_HH_GU-GB WSSS (FlrArea) , HIG_HH_GU , GB WSSS (FlrArea) ," 5,762 "," 61,565 "," 1,277 "," 4,134 "," 8,292 "," 14,321 "," 16,745 "," 26,295 "," 40,160 "," 60,716 "," 69,261 "," 103,309 "," 150,199 "," 459,044 "," 7,020 "," 11,062 "," 15,890 "," 22,649 "," 25,305 "," 35,511 "," 49,863 "," 70,695 "," 79,282 "," 113,387 "," 160,322 "," 469,781 "
70, HSA_FA_EU_IE-GB FL HD , HSA_FA_EU_IE , GB FL HD , 571 ," 9,929 ", -   , -   , -   , -   , -   , 24 ," 3,527 "," 15,621 "," 23,587 "," 95,658 "," 190,770 "," 328,982 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 24 ," 3,553 "," 15,714 "," 23,746 "," 95,884 "," 191,353 "," 331,140 "
71, HSA_COMM_EU_DE-EUxESGB EQ Adj , HSA_COMM_EU_DE , EUxESGB EQ Adj ," 63,286 "," 855,184 ",                       -   , 136 ," 6,832 "," 59,945 "," 105,899 "," 433,819 "," 1,199,350 "," 2,652,268 "," 3,312,274 "," 6,081,062 "," 10,154,831 "," 34,609,636 ",                       -   ," 2,017 "," 7,827 "," 61,860 "," 108,561 "," 440,780 "," 1,213,889 "," 2,676,881 "," 3,340,386 "," 6,121,343 "," 10,205,815 "," 34,693,820 "
72, HSA_COMM_EU_ES-EUxESGB EQ , HSA_COMM_EU_ES , EUxESGB EQ , -   , 79 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   , -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   , 1 
73, HSA_COMM_EU_ES-EUxESGB EQ Adj , HSA_COMM_EU_ES , EUxESGB EQ Adj , -   , 64 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   ,                           -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   ,                           -   
74, HSA_COMM_EU_ES-EUxGB WS (FlrArea) , HSA_COMM_EU_ES , EUxGB WS (FlrArea) , -   , 4 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 113 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 113 
75, HSA_COMM_EU_IE-EUxESGB EQ , HSA_COMM_EU_IE , EUxESGB EQ ," 10,504 "," 449,019 ",                       -   , 16 , 116 ," 4,105 "," 9,305 "," 53,667 "," 159,639 "," 352,967 "," 440,315 "," 813,028 "," 1,344,466 "," 8,011,576 ",                       -   , 251 ," 1,864 "," 6,033 "," 10,064 "," 54,618 "," 161,514 "," 356,216 "," 444,037 "," 818,237 "," 1,351,041 "," 8,022,136 "
76, HSA_FA_EU_NL-EUxGB WS , HSA_FA_EU_NL , EUxGB WS ," 18,396 "," 41,756 "," 3,684 "," 18,599 "," 37,252 "," 63,492 "," 73,868 "," 113,309 "," 165,659 "," 232,889 "," 257,826 "," 345,398 "," 448,165 "," 922,916 "," 6,988 "," 25,789 "," 48,050 "," 77,886 "," 89,347 "," 131,797 "," 186,444 "," 255,235 "," 280,563 "," 369,071 "," 472,534 "," 948,610 "
77, HSA_COMM_UK-GB FL , HSA_COMM_UK , GB FL , 1 , 185 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , -   , -   , -   ," 3,279 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , -   , -   , 1 ," 3,283 "
78, HSA_FA_EU_BE-EUxESGB EQ Adj , HSA_FA_EU_BE , EUxESGB EQ Adj ," 41,893 "," 1,639,798 ",                       -   ,                       -   , 108 , 884 ," 2,280 "," 24,757 "," 176,224 "," 752,349 "," 1,093,356 "," 2,900,310 "," 6,543,344 "," 69,234,894 ",                       -   ,                         -   ," 1,227 "," 4,922 "," 6,770 "," 25,912 "," 177,621 "," 755,529 "," 1,097,468 "," 2,908,213 "," 6,556,896 "," 69,278,480 "
79, HSA_FA_UK-EUxGB WS CVV , HSA_FA_UK , EUxGB WS CVV , 65 , 276 , 7 , 42 , 97 , 211 , 270 , 547 , 983 ," 1,580 "," 1,805 "," 2,600 "," 3,535 "," 7,762 ", 26 , 68 , 132 , 255 , 316 , 602 ," 1,046 "," 1,651 "," 1,879 "," 2,681 "," 3,623 "," 7,868 "
80, HSA_FA_EU_DE-GB FL , HSA_FA_EU_DE , GB FL , 205 ," 8,074 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , -   , 1 , 118 , 648 ," 12,842 "," 53,098 "," 310,561 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 7 , 33 , 130 , 650 ," 12,851 "," 53,137 "," 310,818 "
81, HSA_HH_EU_BE-EUxESGB EQ Adj , HSA_HH_EU_BE , EUxESGB EQ Adj ," 108,230 "," 2,885,404 ",                       -   ,                       -   , 184 ," 8,759 "," 26,244 "," 255,571 "," 1,136,658 "," 3,176,669 "," 4,271,521 "," 9,981,664 "," 20,534,115 "," 120,627,234 ",                       -   ,                         -   ," 2,578 "," 13,532 "," 27,894 "," 258,161 "," 1,144,505 "," 3,195,076 "," 4,294,675 "," 10,019,331 "," 20,589,082 "," 120,741,559 "
82, HSA_FA_EU_ES-BE FL , HSA_FA_EU_ES , BE FL , 116 , 689 , -   , 39 , 202 , 528 , 670 ," 1,229 "," 1,977 "," 2,958 "," 3,339 "," 4,826 "," 7,055 "," 23,594 ", 10 , 50 , 222 , 567 , 715 ," 1,297 "," 2,069 "," 3,071 "," 3,459 "," 4,963 "," 7,199 "," 23,745 "
83, HSA_HH_EU_BE-GB FL HD , HSA_HH_EU_BE , GB FL HD , 254 ," 5,985 ", 3 , 3 , 3 , 3 , 3 , 3 ," 1,476 "," 8,443 "," 12,030 "," 27,552 "," 56,206 "," 210,622 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,482 "," 8,464 "," 12,061 "," 27,827 "," 56,857 "," 214,434 "
84, HSA_FA_EU_IE-GB WSSS CVV , HSA_FA_EU_IE , GB WSSS CVV , 113 , 665 , 11 , 69 , 155 , 320 , 407 , 871 ," 1,666 "," 2,846 "," 3,326 "," 5,217 "," 7,926 "," 25,033 ", 34 , 104 , 205 , 385 , 477 , 951 ," 1,759 "," 2,953 "," 3,437 "," 5,342 "," 8,062 "," 25,213 "
85, HSA_HH_EU_BE-GB WSSS CVV (FlrArea) , HSA_HH_EU_BE , GB WSSS CVV (FlrArea) ," 2,348 "," 11,257 ", 96 ," 1,353 "," 3,832 "," 8,920 "," 11,385 "," 22,088 "," 37,988 "," 60,208 "," 68,927 "," 101,512 "," 143,171 "," 353,380 ", 336 ," 1,764 "," 4,528 "," 9,968 "," 12,548 "," 23,620 "," 39,899 "," 62,473 "," 71,292 "," 104,157 "," 146,004 "," 356,887 "
86, HSA_FA_UK-EUxGB WS , HSA_FA_UK , EUxGB WS , 76 , 308 , 8 , 48 , 116 , 261 , 335 , 670 ," 1,171 "," 1,831 "," 2,075 "," 2,924 "," 3,904 "," 8,197 ", 27 , 76 , 154 , 310 , 387 , 732 ," 1,244 "," 1,914 "," 2,161 "," 3,019 "," 4,007 "," 8,322 "
87, HSA_HH_EU_DE-EUxESGB EQ , HSA_HH_EU_DE , EUxESGB EQ ," 357,732 "," 3,081,703 ", 199 ," 28,537 "," 180,820 "," 801,846 "," 1,207,425 "," 3,510,729 "," 7,958,669 "," 14,959,784 "," 17,758,327 "," 28,156,207 "," 41,365,733 "," 107,435,333 "," 3,941 "," 34,196 "," 194,746 "," 835,822 "," 1,251,346 "," 3,597,299 "," 8,102,519 "," 15,167,511 "," 17,990,280 "," 28,452,781 "," 41,727,978 "," 107,950,000 "
88, HSA_HH_EU_ES-EUxGB WS (FlrArea) , HSA_HH_EU_ES , EUxGB WS (FlrArea) ," 2,033 "," 8,791 ", 24 ," 1,028 "," 3,686 "," 8,975 "," 11,365 "," 21,200 "," 34,974 "," 52,880 "," 59,521 "," 82,857 "," 110,177 "," 230,405 ", 249 ," 1,325 "," 4,209 "," 9,828 "," 12,336 "," 22,557 "," 36,710 "," 54,948 "," 61,698 "," 85,291 "," 112,830 "," 233,516 "
89, HSA_HH_EU_DE-GB WSSS (FlrArea) , HSA_HH_EU_DE , GB WSSS (FlrArea) ," 17,756 "," 59,294 "," 2,954 "," 14,203 "," 31,168 "," 58,608 "," 70,468 "," 121,491 "," 205,380 "," 335,040 "," 386,762 "," 574,041 "," 793,167 "," 1,653,090 "," 5,194 "," 19,567 "," 39,310 "," 69,652 "," 82,444 "," 136,119 "," 221,907 "," 352,766 "," 404,840 "," 593,165 "," 813,524 "," 1,677,460 "
90, HSA_HH_EU_FR-EUxESGB EQ Adj , HSA_HH_EU_FR , EUxESGB EQ Adj ," 180,150 "," 4,727,680 ",                       -   ,                       -   , 228 ," 14,863 "," 44,314 "," 372,560 "," 1,461,330 "," 4,129,305 "," 5,645,357 "," 14,279,297 "," 30,690,337 "," 250,969,525 ",                       -   ,                         -   ," 3,641 "," 18,553 "," 45,557 "," 376,265 "," 1,472,435 "," 4,154,223 "," 5,676,047 "," 14,327,521 "," 30,769,286 "," 251,283,773 "
91, HSA_HH_EU_FR-GB WSSS , HSA_HH_EU_FR , GB WSSS ," 1,170 "," 7,111 ", 4 , 415 ," 1,726 "," 4,621 "," 6,014 "," 11,930 "," 20,537 "," 32,846 "," 37,907 "," 58,495 "," 88,585 "," 254,658 ", 136 , 557 ," 1,966 "," 5,020 "," 6,472 "," 12,587 "," 21,410 "," 33,934 "," 39,054 "," 59,773 "," 89,945 "," 256,383 "
92, HSA_HH_EU_IE-BE FL , HSA_HH_EU_IE , BE FL , 741 ," 12,800 ", -   , 3 , 191 ," 1,338 "," 2,044 "," 5,541 "," 11,472 "," 21,240 "," 25,810 "," 50,144 "," 106,643 "," 564,618 ", 132 , 219 , 354 ," 1,499 "," 2,220 "," 5,788 "," 11,813 "," 21,694 "," 26,306 "," 50,738 "," 107,284 "," 565,807 "
93, HSA_HH_EU_PT-EU FL HD , HSA_HH_EU_PT , EU FL HD , 21 ," 1,691 ", 16 , 16 , 16 , 16 , 16 , 16 , 16 , 16 , 16 , 16 ," 1,742 "," 23,008 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ," 1,744 "," 30,429 "
94, HSA_HH_EU_PT-EUxGB WS (FlrArea) , HSA_HH_EU_PT , EUxGB WS (FlrArea) , 95 ," 1,035 ", -   , -   , 3 , 90 , 180 , 827 ," 2,219 "," 4,501 "," 5,441 "," 9,050 "," 13,766 "," 38,295 ", 16 , 22 , 27 , 106 , 198 , 852 ," 2,258 "," 4,559 "," 5,505 "," 9,133 "," 13,868 "," 38,464 "
95, HSA_HH_EU_PT-EUxGB WS CVV (FlrArea) , HSA_HH_EU_PT , EUxGB WS CVV (FlrArea) , 109 ," 1,077 ", -   , -   , 7 , 150 , 277 ," 1,086 "," 2,656 "," 5,074 "," 6,043 "," 9,684 "," 14,350 "," 38,454 ", 16 , 22 , 30 , 168 , 297 ," 1,116 "," 2,705 "," 5,144 "," 6,121 "," 9,785 "," 14,474 "," 38,652 "
96, HSA_HH_EU_PT-GB FL , HSA_HH_EU_PT , GB FL ," 1,549 "," 26,663 ",                       -   ,                       -   ,                         -   , -   , -   , 1 ," 1,921 "," 34,551 "," 68,219 "," 301,691 "," 543,817 "," 770,750 ",                       -   ,                         -   ,                         -   , 2 , 5 , 21 ," 1,923 "," 34,586 "," 68,359 "," 302,087 "," 544,601 "," 773,629 "
97, HSA_HH_EU_PT-GB WSSS , HSA_HH_EU_PT , GB WSSS , 425 ," 2,872 ", 1 , 116 , 554 ," 1,594 "," 2,106 "," 4,346 "," 7,731 "," 12,683 "," 14,734 "," 23,129 "," 35,647 "," 106,764 ", 65 , 179 , 646 ," 1,738 "," 2,271 "," 4,580 "," 8,042 "," 13,069 "," 15,143 "," 23,592 "," 36,143 "," 107,369 "
98, S33_FA_EU_BE-EUxGB WS CVV , S33_FA_EU_BE , EUxGB WS CVV , 415 ," 2,871 ", 36 , 204 , 464 ," 1,034 "," 1,364 "," 3,162 "," 6,509 "," 11,946 "," 14,241 "," 23,382 "," 36,000 "," 107,586 ", 120 , 326 , 629 ," 1,246 "," 1,588 "," 3,423 "," 6,818 "," 12,309 "," 14,620 "," 23,812 "," 36,477 "," 108,191 "
99, HSA_HH_EU_IE-EUxESGB EQ Adj , HSA_HH_EU_IE , EUxESGB EQ Adj ," 5,349 "," 148,366 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 42 ," 6,377 "," 109,483 "," 194,353 "," 683,381 "," 1,471,354 "," 5,451,754 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 767 ," 6,446 "," 109,666 "," 194,668 "," 684,452 "," 1,473,694 "," 5,459,125 "
100, S33_FA_EU_BE_QS-EU FL HD , S33_FA_EU_BE_QS , EU FL HD , 233 ," 16,284 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 891 ," 594,144 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   , 902 ," 684,578 "
101, S33_FA_EU_DE-EUxGB WS CVV , S33_FA_EU_DE , EUxGB WS CVV , 240 ," 2,098 ", 6 , 73 , 219 , 585 , 798 ," 1,934 "," 4,167 "," 8,061 "," 9,761 "," 16,703 "," 26,479 "," 80,509 ", 75 , 146 , 307 , 693 , 913 ," 2,076 "," 4,341 "," 8,268 "," 9,979 "," 16,955 "," 26,759 "," 80,900 "
102, S33_FA_EU_FR_QS-EU FL HD , S33_FA_EU_FR_QS , EU FL HD , 60 ," 7,141 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 140,478 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ,                           -   ,                           -   ," 139,548 "
103, S33_FA_Lloyds-BE FL , S33_FA_Lloyds , BE FL ," 24,546 "," 85,810 "," 6,293 "," 20,135 "," 34,495 "," 54,567 "," 63,238 "," 106,968 "," 229,281 "," 496,675 "," 599,977 "," 935,759 "," 1,281,473 "," 2,448,520 "," 9,394 "," 28,856 "," 47,535 "," 71,822 "," 81,772 "," 128,409 "," 249,618 "," 517,025 "," 620,756 "," 958,466 "," 1,306,301 "," 2,480,981 "
104, S33_FA_Miami-EUxGB WS , S33_FA_Miami , EUxGB WS , 31 , 439 , -   , 5 , 31 , 91 , 118 , 229 , 401 , 714 , 879 ," 1,794 "," 3,587 "," 19,271 ", 7 , 13 , 39 , 102 , 130 , 245 , 422 , 739 , 905 ," 1,820 "," 3,616 "," 19,321 "
105, HSA_HH_EU_IE-GB FL HD , HSA_HH_EU_IE , GB FL HD , 526 ," 6,768 ", 11 , 11 , 11 , 11 , 11 , 11 ," 9,004 "," 33,453 "," 45,139 "," 79,112 "," 108,349 "," 215,836 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 8,958 "," 33,589 "," 45,313 "," 78,785 "," 109,406 "," 217,572 "
106, S33_FA_UK-GB WSSS CVV , S33_FA_UK , GB WSSS CVV ," 1,422 "," 8,084 ", 94 , 870 ," 2,135 "," 4,378 "," 5,493 "," 11,322 "," 21,828 "," 37,549 "," 43,886 "," 68,335 "," 101,495 "," 290,490 ", 310 ," 1,213 "," 2,650 "," 5,110 "," 6,295 "," 12,292 "," 22,949 "," 38,845 "," 45,244 "," 69,854 "," 103,160 "," 292,635 "
107, HSA_COMM_EU_ES-EUxGB WS CVV (FlrArea) , HSA_COMM_EU_ES , EUxGB WS CVV (FlrArea) , -   , 4 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 110 ,                       -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 110 
108, HSA_COMM_EU_FR-EUxESGB EQ Adj , HSA_COMM_EU_FR , EUxESGB EQ Adj ," 71,172 "," 1,086,811 ",                       -   , 49 ," 5,273 "," 90,482 "," 159,889 "," 603,887 "," 1,516,806 "," 2,978,555 "," 3,584,559 "," 6,034,951 "," 9,719,478 "," 34,293,096 ",                       -   , 687 ," 9,336 "," 92,638 "," 163,141 "," 613,346 "," 1,536,298 "," 3,010,657 "," 3,621,302 "," 6,086,266 "," 9,782,009 "," 34,379,027 "
109, HSA_COMM_EU_IE-EUxGB WS (FlrArea) , HSA_COMM_EU_IE , EUxGB WS (FlrArea) ," 344,088 "," 661,426 "," 89,296 "," 333,809 "," 624,513 "," 1,043,877 "," 1,208,094 "," 1,808,621 "," 2,578,373 "," 3,597,288 "," 3,985,850 "," 5,352,929 "," 6,941,010 "," 14,923,111 "," 147,806 "," 476,996 "," 835,845 "," 1,313,811 "," 1,494,598 "," 2,143,921 "," 2,957,801 "," 4,002,010 "," 4,393,616 "," 5,768,810 "," 7,372,533 "," 15,361,806 "
110, S33_HH_EU_BE-EUxESGB EQ , S33_HH_EU_BE , EUxESGB EQ ," 12,978 "," 156,702 ",                       -   ,                       -   ,                         -   , 62 ," 1,294 "," 59,413 "," 288,939 "," 725,050 "," 905,054 "," 1,567,561 "," 2,361,341 "," 5,552,532 ",                       -   ,                         -   ,                         -   , 194 ," 1,304 "," 59,693 "," 290,504 "," 728,887 "," 909,761 "," 1,575,330 "," 2,372,154 "," 5,572,919 "
111, HSA_HH_EU_IE-GB WSSS CVV (FlrArea) , HSA_HH_EU_IE , GB WSSS CVV (FlrArea) ," 3,434 "," 18,970 ", 108 ," 1,697 "," 5,110 "," 12,254 "," 15,646 "," 30,655 "," 55,507 "," 96,244 "," 113,658 "," 181,054 "," 265,136 "," 618,315 ", 468 ," 2,253 "," 6,028 "," 13,631 "," 17,186 "," 32,740 "," 58,140 "," 99,322 "," 116,846 "," 184,568 "," 268,993 "," 623,699 "
112, S33_HH_EU_FR-EUxGB WS (FlrArea) , S33_HH_EU_FR , EUxGB WS (FlrArea) , 332 ," 3,760 ", -   , 9 , 159 , 729 ," 1,052 "," 2,805 "," 6,512 "," 12,937 "," 15,659 "," 26,530 "," 41,976 "," 146,570 ", 74 , 114 , 236 , 822 ," 1,155 "," 2,946 "," 6,699 "," 13,175 "," 15,917 "," 26,844 "," 42,342 "," 147,100 "
113, HSA_FA_EU_BE-BE FL , HSA_FA_EU_BE , BE FL ," 739,715 "," 4,241,125 "," 96,840 "," 193,219 "," 307,849 "," 648,626 "," 967,190 "," 6,041,416 "," 12,000,329 "," 28,354,978 "," 36,915,490 "," 54,006,410 "," 63,447,324 "," 97,965,084 "," 213,399 "," 403,736 "," 581,109 "," 947,428 "," 1,252,280 "," 6,322,160 "," 12,403,851 "," 28,840,098 "," 37,453,582 "," 54,511,401 "," 64,167,410 "," 99,103,360 "
114, S33_HH_Lloyds-EUxGB WS (FlrArea) , S33_HH_Lloyds , EUxGB WS (FlrArea) ," 80,093 "," 164,697 "," 18,848 "," 75,341 "," 150,659 "," 261,095 "," 304,987 "," 468,619 "," 673,224 "," 915,990 "," 1,001,843 "," 1,289,910 "," 1,609,202 "," 2,936,129 "," 42,144 "," 116,985 "," 206,958 "," 331,260 "," 379,274 "," 554,388 "," 768,378 "," 1,018,907 "," 1,106,780 "," 1,400,709 "," 1,725,303 "," 3,063,176 "
115, S33_HH_UK-GB FL , S33_HH_UK , GB FL ," 29,376 "," 336,352 ",                       -   ,                       -   ,                         -   ,                         -   , 1 ," 1,098 "," 456,837 "," 2,509,533 "," 3,279,538 "," 4,848,531 "," 5,201,679 "," 7,017,510 ",                       -   ,                         -   ,                         -   ,                         -   , 24 ," 1,102 "," 457,376 "," 2,512,347 "," 3,283,180 "," 4,857,261 "," 5,219,174 "," 7,065,341 "
116, HSA_FA_EU_DE-GB FL HD , HSA_FA_EU_DE , GB FL HD , 317 ," 7,435 ", -   , -   , -   , -   , -   , -   , -   ," 6,663 "," 14,254 "," 47,640 "," 89,687 "," 274,491 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 6,654 "," 14,316 "," 47,511 "," 89,998 "," 283,190 "
117, S3624_COMM_UK-EUxGB WS (FlrArea) , S3624_COMM_UK , EUxGB WS (FlrArea) , -   , 13 ,                       -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 34 , 96 , 519 ,                       -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 34 , 96 , 519 
118, HSA_FA_EU_DE-GB WSSS CVV , HSA_FA_EU_DE , GB WSSS CVV , 395 ," 2,742 ", 8 , 197 , 593 ," 1,311 "," 1,648 "," 3,259 "," 6,223 "," 10,995 "," 12,973 "," 20,781 "," 31,802 "," 103,616 ", 72 , 272 , 708 ," 1,482 "," 1,839 "," 3,509 "," 6,522 "," 11,341 "," 13,334 "," 21,191 "," 32,248 "," 104,153 "
119, HSA_FA_EU_FR-EUxESGB EQ Adj , HSA_FA_EU_FR , EUxESGB EQ Adj ," 56,601 "," 1,272,301 ",                       -   , 39 ," 1,353 "," 31,856 "," 61,374 "," 277,497 "," 786,735 "," 1,751,421 "," 2,207,065 "," 4,421,174 "," 8,330,884 "," 64,212,010 ",                       -   , 575 ," 3,861 "," 32,738 "," 62,653 "," 281,366 "," 795,499 "," 1,766,942 "," 2,225,124 "," 4,446,760 "," 8,364,419 "," 64,275,443 "
120, HSA_HH_EU_NL-GB WSSS , HSA_HH_EU_NL , GB WSSS ," 46,332 "," 128,061 "," 7,420 "," 37,969 "," 84,461 "," 165,616 "," 202,335 "," 354,316 "," 559,352 "," 807,681 "," 895,180 "," 1,187,694 "," 1,505,699 "," 2,697,691 "," 12,429 "," 50,899 "," 105,052 "," 194,056 "," 233,059 "," 391,280 "," 602,080 "," 855,717 "," 945,038 "," 1,242,042 "," 1,565,768 "," 2,768,641 "
121, HSA_FA_EU_FR-EUxGB WS CVV , HSA_FA_EU_FR , EUxGB WS CVV ," 48,695 "," 85,469 "," 9,083 "," 43,192 "," 88,575 "," 149,314 "," 172,226 "," 254,185 "," 353,040 "," 469,078 "," 510,290 "," 651,167 "," 814,034 "," 1,606,765 "," 22,629 "," 65,560 "," 118,898 "," 187,844 "," 213,288 "," 302,537 "," 407,408 "," 528,414 "," 570,938 "," 715,128 "," 880,268 "," 1,674,955 "
122, HSA_FA_EU_FR-GB WSSS , HSA_FA_EU_FR , GB WSSS , 128 , 558 , 10 , 101 , 243 , 468 , 568 ," 1,006 "," 1,718 "," 2,753 "," 3,162 "," 4,700 "," 6,709 "," 17,889 ", 22 , 128 , 289 , 539 , 645 ," 1,105 "," 1,831 "," 2,879 "," 3,292 "," 4,842 "," 6,859 "," 18,061 "
123, HIG_FA_GU-BE FL , HIG_FA_GU , BE FL ," 14,003 "," 32,707 "," 3,815 "," 14,891 "," 26,723 "," 42,087 "," 48,040 "," 71,574 "," 109,508 "," 160,662 "," 175,241 "," 226,335 "," 317,916 "," 992,130 "," 5,375 "," 20,065 "," 34,855 "," 53,102 "," 59,947 "," 85,983 "," 125,057 "," 174,778 "," 189,822 "," 244,683 "," 335,369 "," 1,007,735 "
124, HSA_FA_EU_IE-EUxGB WS CVV , HSA_FA_EU_IE , EUxGB WS CVV ," 12,005 "," 27,374 "," 2,751 "," 10,294 "," 20,801 "," 36,201 "," 42,308 "," 65,637 "," 97,753 "," 142,335 "," 159,916 "," 225,351 "," 307,765 "," 736,456 "," 5,808 "," 15,992 "," 28,459 "," 45,746 "," 52,441 "," 77,494 "," 110,983 "," 156,396 "," 174,121 "," 239,906 "," 322,504 "," 752,838 "
125, HIG_FA_GU-DE FL , HIG_FA_GU , DE FL ," 12,274 "," 185,771 ", 1 , 8 , 324 ," 9,452 "," 18,479 "," 80,120 "," 212,969 "," 456,413 "," 570,086 "," 1,104,777 "," 2,093,598 "," 8,460,500 ", 47 , 419 , 853 ," 9,746 "," 18,890 "," 81,298 "," 215,562 "," 460,880 "," 575,220 "," 1,112,013 "," 2,102,674 "," 8,477,515 "
126, HSA_FA_EU_NL-EUxESGB EQ Adj , HSA_FA_EU_NL , EUxESGB EQ Adj ," 9,725 "," 226,184 ",                       -   ,                       -   ,                         -   ,                         -   , 15 ," 4,283 "," 66,223 "," 328,995 "," 479,643 "," 1,179,363 "," 2,126,422 "," 9,622,484 ",                       -   ,                         -   ,                         -   ,                         -   , 204 ," 4,316 "," 66,437 "," 329,944 "," 480,952 "," 1,182,355 "," 2,131,819 "," 9,634,998 "
127, S33_FA_Lloyds-DE FL , S33_FA_Lloyds , DE FL ," 19,113 "," 250,021 ", 2 , 17 ," 1,623 "," 23,642 "," 41,263 "," 150,900 "," 380,485 "," 782,343 "," 960,010 "," 1,701,032 "," 2,753,091 "," 10,973,175 ", 85 , 718 ," 2,013 "," 24,296 "," 42,207 "," 153,444 "," 385,628 "," 790,765 "," 969,505 "," 1,713,988 "," 2,768,890 "," 11,000,789 "
